Subject,Ratio,Evaluation,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,ROC_AUC,FPR
sub-09,1:2,300->300,0.7037037037037037,0.611111111111111,0.6,0.3333333333333333,0.42857142857142855,0.6049382716049383,0.1111111111111111
sub-09,1:2,200->200,0.625,0.65625,0.46153846153846156,0.75,0.5714285714285714,0.796875,0.4375
sub-10,1:1,500->500,0.8333333333333334,0.8333333333333333,0.8,0.8888888888888888,0.8421052631578947,0.904320987654321,0.2222222222222222
sub-10,1:1,500->300,0.6944444444444444,0.6944444444444444,0.6666666666666666,0.7777777777777778,0.717948717948718,0.8179012345679013,0.3888888888888889
sub-10,1:1,500->200,0.6764705882352942,0.6764705882352942,0.6875,0.6470588235294118,0.6666666666666666,0.820069204152249,0.29411764705882354
sub-10,1:1,300->300,0.75,0.75,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8703703703703703,0.3333333333333333
sub-10,1:1,200->200,0.6764705882352942,0.6764705882352942,0.65,0.7647058823529411,0.7027027027027027,0.8269896193771626,0.4117647058823529
sub-10,1:2,500->500,0.6481481481481481,0.6527777777777777,0.48,0.6666666666666666,0.5581395348837209,0.7978395061728395,0.3611111111111111
sub-10,1:2,500->300,0.6666666666666666,0.6388888888888888,0.5,0.5555555555555556,0.5263157894736842,0.8024691358024691,0.2777777777777778
sub-10,1:2,500->200,0.7254901960784313,0.6911764705882353,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.78719723183391,0.20588235294117646
sub-10,1:2,300->300,0.7962962962962963,0.8194444444444444,0.64,0.8888888888888888,0.7441860465116279,0.904320987654321,0.25
sub-10,1:2,200->200,0.8431372549019608,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.884083044982699,0.11764705882352941
